timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2024-03-06 14:02:15.946142,226,0.01837806239298551,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.967772,645,0.9687701954303876,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.967961,177,0.9681066794076616,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.968064,228,0.8637680948714865,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.990752,178,0.9631260690869402,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.990866,229,0.9569170308758412,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.990982,179,0.9698958071220714,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.991062,230,0.9597063482403704,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.991150,179,0.9605127724962574,0,-0.11,-0.22,-0.11
2024-03-06 14:02:15.991227,181,0.9745210710245,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.209300,313,0.9722684515436542,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.209343,314,0.9738472114814686,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.209346,314,0.9642905382727008,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.260605,655,0.960944441571994,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.271370,656,0.9593121881578774,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.475197,130,0.9715369597914528,0,-0.11,-0.22,-0.11
2024-03-06 14:02:16.542355,655,0.9460949981641272,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.085425,657,0.962604447137572,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.085885,657,0.9532238750366612,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.086060,657,0.9439371086567594,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.086202,657,0.9347432099406568,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.204189,657,0.9256412502117152,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.204378,657,0.916630310080063,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.204545,657,0.9077094793497272,0,-0.11,-0.22,-0.11
2024-03-06 14:02:19.547760,658,0.9309130052313174,0,-0.11,-0.22,-0.11
2024-03-06 14:02:21.087471,172,0.9664886592679632,0,-0.11,-0.22,-0.11
2024-03-06 14:02:21.088700,203,0.9677718365893702,0,-0.11,-0.22,-0.11
2024-03-06 14:02:21.089072,197,0.9739945436417548,0,-0.11,-0.22,-0.11
2024-03-06 14:02:21.501885,659,0.9504368050606352,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.743069,185,0.9716351524485,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.743372,185,0.9621192357969136,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.858919,186,0.955338403096384,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.885290,660,0.9586830429997693,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.887028,187,0.9560506132264034,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.888215,661,0.9636436956584602,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.937622,323,0.9712696108882114,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.973842,215,0.977595728948854,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.975715,131,0.96116986360081,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.975943,259,0.966539436251858,0,-0.11,-0.22,-0.11
2024-03-06 14:02:22.988309,206,0.9756456578571104,0,-0.11,-0.22,-0.11
2024-03-06 14:02:23.104248,132,0.9635416291117788,0,-0.11,-0.22,-0.11
2024-03-06 14:02:23.104414,207,0.9750475319689532,0,-0.11,-0.22,-0.11
2024-03-06 14:02:23.168074,260,0.9613850130962752,0,-0.11,-0.22,-0.11
2024-03-06 14:02:23.170114,662,0.9647892379319007,0,-0.11,-0.22,-0.11
2024-03-06 14:02:23.170265,265,0.9640298942245202,0,-0.11,-0.22,-0.11
2024-03-06 14:02:23.313293,297,0.9782012624224976,0,-0.11,-0.22,-0.11
